,0,1,2,3,4,5,6
1,68,76,76,77,77,75,77
2,88,74,88,68,73,68,73
3,88,68,68,88,68,88,88
4,68,68,77,80,73,80,77
5,80,68,78,78,68,88,78
6,68,68,68,80,68,68,68
7,87,80,80,87,68,80,87
8,68,68,77,68,76,77,77
9,68,80,80,80,80,80,68
10,80,89,80,69,80,89,69
11,68,78,88,88,88,68,68
12,68,78,78,88,88,68,78
13,68,68,68,68,77,77,77
14,67,86,67,80,80,67,80
15,69,80,80,80,69,69,80
16,77,68,86,68,86,86,77
17,88,69,69,83,73,83,83
18,68,68,68,80,80,68,68
19,80,68,68,68,68,80,80
20,68,68,86,86,68,86,86
21,88,77,73,77,74,74,84
22,80,89,89,89,80,89,80
23,69,80,88,69,69,69,88
24,69,69,69,69,69,69,73
25,77,77,77,77,69,77,69
26,68,68,77,68,68,68,68
27,73,68,73,68,73,73,68
28,73,88,80,68,88,80,80
29,73,74,77,74,78,78,78
30,40,40,80,80,40,80,80
31,68,80,80,89,88,68,80
32,79,67,67,79,67,67,67
33,68,68,73,88,68,73,86
34,77,77,77,77,77,68,77
35,80,76,76,68,74,74,76
36,68,80,68,80,86,68,68
37,67,80,80,80,67,80,67
38,88,88,68,68,88,87,87
39,73,87,87,87,87,73,73
40,77,68,68,77,68,68,77
41,68,68,77,68,77,68,77
42,67,67,67,77,77,67,77
43,80,67,88,67,88,80,88
44,88,67,88,67,88,80,67
45,80,67,80,77,77,77,80
46,80,67,80,80,67,67,67
47,77,80,80,77,80,80,80
48,79,67,79,67,79,67,79
49,67,86,67,67,67,67,77
50,74,86,50,89,87,73,74
51,86,80,80,86,90,80,90
52,67,67,67,67,80,67,67
53,73,67,73,88,73,73,73
54,73,68,88,80,73,68,68
55,80,78,86,80,67,86,67
56,67,67,78,80,78,80,67
57,67,67,80,80,80,80,67
58,67,80,67,67,80,67,67
59,80,80,67,80,67,80,67
60,80,80,66,80,66,80,66
61,80,80,67,67,80,67,67
62,73,73,73,87,73,67,73
63,76,76,67,76,77,67,76
64,67,80,80,67,80,67,80
65,77,80,66,77,66,66,66
66,77,77,86,77,86,86,77
67,67,67,77,77,67,77,77
68,86,67,88,86,67,86,73
69,86,89,86,67,77,89,77
70,86,77,77,77,67,67,77
71,67,76,76,84,84,67,75
72,77,77,67,78,67,78,67
73,73,67,90,67,77,77,77
74,80,80,73,73,38,38,73
75,67,79,79,67,67,67,79
76,78,78,66,78,80,66,78
77,88,66,80,88,88,80,80
78,74,76,74,76,74,76,66
79,88,73,66,88,73,73,66
80,77,73,77,89,77,77,73
81,77,67,67,67,67,67,86
82,73,73,87,74,87,66,87
83,66,66,77,66,86,77,86
84,87,87,83,87,67,87,87
85,67,67,77,67,67,77,67
86,80,66,66,80,66,66,80
87,66,66,66,80,80,80,66
88,86,77,86,66,77,77,77
89,87,87,82,55,82,82,55
90,77,66,66,88,86,77,86
91,84,84,84,76,66,77,66
92,86,86,86,66,78,73,73
93,80,80,69,69,77,80,69
94,63,77,76,77,77,63,63
95,75,65,77,84,75,76,76
96,87,64,73,73,88,88,88
97,80,74,90,74,63,63,63
98,80,80,88,88,64,64,64
99,75,10,76,10,76,76,76
100,80,80,70,88,70,88,70
101,74,54,73,75,75,73,83
102,75,75,75,75,76,43,76
103,69,84,75,84,84,75,84
104,77,77,77,69,69,69,69
105,77,69,77,69,69,69,77
106,69,69,69,88,80,69,88
107,80,80,80,80,80,69,69
108,69,69,69,77,77,69,69
109,77,77,87,69,87,77,87
110,73,73,68,73,89,73,77
111,69,69,86,86,69,77,86
112,76,76,69,69,69,69,76
113,80,80,80,69,69,80,80
114,69,75,69,69,75,75,75
115,79,79,69,79,69,79,69
116,77,69,77,77,69,69,69
117,88,88,69,88,88,74,73
118,74,73,69,74,69,73,88
119,79,67,67,67,67,67,79
120,77,78,69,77,78,78,78
121,69,73,89,69,89,89,87
122,77,69,69,69,77,69,77
123,83,83,83,83,69,83,69
124,85,69,80,80,85,85,69
125,86,86,80,69,80,80,69
126,69,80,69,69,69,80,69
127,45,45,73,45,45,73,78
128,73,73,69,88,88,88,73
129,69,86,88,88,78,69,69
130,69,69,78,69,78,78,78
131,80,34,86,80,80,34,34
132,84,80,84,80,76,74,74
133,80,12,89,89,12,86,89
134,80,14,80,14,80,14,80
135,80,88,87,88,87,85,87
136,12,80,80,80,12,80,12
137,80,80,80,80,80,80,69
138,77,77,76,69,77,77,69
139,42,76,77,76,77,77,76
140,74,74,66,74,76,74,74
141,74,74,74,27,76,87,81
142,84,74,76,74,44,74,44
143,84,38,38,84,84,38,38
144,88,88,88,61,73,73,61
145,88,88,87,87,73,88,65
146,69,80,69,69,80,80,69
147,88,73,73,69,73,73,69
148,74,74,73,74,74,69,73
149,69,80,69,69,69,69,80
150,80,80,80,80,80,80,69
151,44,44,77,76,76,77,44
152,46,77,87,87,77,46,87
153,61,61,77,77,61,61,77
154,52,52,52,52,52,52,77
155,84,84,86,84,86,86,86
156,88,78,88,88,78,78,78
157,80,80,89,59,89,80,59
158,62,77,77,62,62,62,62
159,65,65,65,65,88,85,65
160,80,65,80,65,80,65,80
161,73,86,86,59,73,86,59
162,80,80,80,54,54,80,54
163,47,47,77,47,47,47,77
164,74,74,87,74,73,73,73
165,80,59,80,80,59,80,80
166,80,59,59,80,59,80,59
167,77,77,53,53,53,53,53
168,47,77,47,47,47,47,77
169,75,75,77,77,66,75,77
170,86,61,86,80,61,86,86
171,87,77,64,87,87,64,64
172,73,86,74,86,74,86,86
173,60,86,77,77,77,60,77
174,54,54,73,74,54,74,54
175,87,58,58,58,58,58,58
176,88,59,87,89,59,87,88
177,90,39,39,90,90,73,73
178,80,30,80,30,80,80,80
179,44,44,44,87,44,44,87
180,89,89,89,52,80,52,89
181,86,86,86,86,86,89,89
182,63,63,63,63,63,63,80
183,73,87,52,87,88,88,87
184,73,87,74,87,74,66,83
185,83,33,88,86,83,88,83
186,77,84,77,77,77,77,77
187,73,80,80,80,80,78,47
188,89,89,73,60,60,89,89
189,65,75,77,65,65,65,77
190,80,80,62,89,80,80,89
191,57,57,80,85,85,80,85
192,80,53,80,80,53,80,53
193,80,56,56,80,56,80,56
194,77,77,78,77,77,78,78
195,88,87,57,57,87,88,57
196,62,62,62,62,62,62,62
197,86,86,86,86,80,40,80
198,63,88,63,88,88,88,88
199,89,89,80,80,80,80,30
200,53,53,53,83,53,53,83
201,73,73,83,74,73,77,83
202,66,66,66,66,66,66,86
203,65,65,65,65,65,90,90
204,77,77,77,58,87,77,77
205,80,89,43,43,80,89,43
206,61,88,74,75,61,75,75
207,63,86,73,73,63,86,63
208,83,47,77,83,47,83,77
209,80,80,57,80,57,84,80
210,62,73,62,73,62,73,73
211,89,43,77,89,43,89,77
212,80,61,61,61,61,61,80
213,59,80,86,86,86,86,86
214,80,80,80,84,89,55,55
215,62,80,80,62,80,62,62
216,77,86,62,86,86,86,77
217,86,86,83,83,86,83,65
218,88,88,64,88,64,88,88
219,83,57,57,57,57,57,57
220,86,69,69,86,77,69,69
221,69,69,69,69,69,80,69
222,74,87,87,69,74,74,73
223,88,80,80,80,69,80,88
224,80,69,80,80,69,69,69
225,69,77,69,69,69,69,76
226,63,73,73,63,63,63,63
227,74,73,74,87,87,74,87
228,87,74,87,73,55,74,55
229,73,87,57,73,73,57,74
230,87,74,74,87,59,87,73
231,74,78,74,65,78,78,65
232,90,61,61,90,90,77,90
233,73,65,73,65,65,65,73
234,48,48,48,83,83,83,48
235,73,87,73,89,73,87,87
236,80,77,77,80,77,77,69
237,80,69,69,69,80,86,69
238,60,60,60,60,77,77,77
239,80,78,65,80,80,80,65
240,77,69,75,75,75,77,69
241,86,86,89,65,73,65,73
242,70,70,70,77,70,70,77
243,76,76,77,76,77,77,76
244,73,80,73,73,70,73,88
245,88,88,80,80,70,80,88
246,70,86,70,80,80,86,70
247,76,74,74,76,73,74,76
248,70,70,78,77,78,78,77
249,77,77,77,77,70,70,77
250,73,70,73,87,70,87,73
251,77,70,77,77,70,77,77
252,74,88,88,74,87,73,88
253,86,80,70,86,80,86,86
254,74,70,73,70,74,73,74
255,77,77,77,77,70,86,70
256,70,77,86,77,86,77,77
257,70,74,70,77,70,73,73
258,70,70,87,70,87,70,70
259,77,76,76,76,70,76,76
260,85,73,73,85,87,73,70
261,76,76,77,76,76,76,76
262,70,80,80,70,80,70,70
263,73,70,73,73,70,73,70
264,88,88,88,70,70,88,87
265,88,73,63,63,88,73,73
266,73,73,74,70,73,73,73
267,0,0,72,72,0,0,72
268,80,86,86,86,80,70,80
269,70,77,70,70,70,70,70
270,70,80,88,87,88,88,80
271,70,73,70,73,87,73,70
272,70,70,80,80,80,70,70
273,68,78,78,68,78,78,78
274,86,86,86,68,86,77,86
275,80,80,86,86,80,68,80
276,68,80,80,80,80,80,86
277,80,68,80,80,80,68,80
278,86,86,69,80,86,80,80
279,68,68,80,80,80,80,68
280,69,69,86,86,69,69,69
281,88,73,67,67,67,67,73
282,80,69,69,80,69,80,80
283,80,86,69,69,86,80,86
284,69,77,86,69,86,69,77
285,69,80,69,69,69,80,69
286,89,80,86,89,86,80,86
287,80,69,69,69,69,69,69
288,88,83,83,83,88,69,83
289,80,69,80,69,84,69,84
290,77,70,70,77,70,77,70
291,70,88,70,88,85,70,85
292,70,80,70,70,80,80,70
293,70,80,78,80,70,70,70
294,77,77,70,77,70,70,70
295,73,88,73,70,70,73,70
296,70,70,70,70,70,80,80
297,80,70,70,80,80,70,70
298,87,88,73,70,73,87,87
299,82,82,82,82,82,82,70
300,73,70,73,73,70,73,70
301,77,70,70,77,70,70,70
302,78,70,88,88,88,88,78
303,70,80,80,80,70,70,80
304,69,74,74,74,74,74,76
305,70,80,80,80,80,70,70
306,70,80,70,80,86,86,80
307,83,70,83,83,78,88,78
308,70,70,76,70,80,80,76
