movie1,movie2,movie3,movie4,movie5,movie6,label
804,1210,2018,2628,2826,3578,1
1210,2018,2628,2826,3578,3617,1
2018,2628,2826,3578,3617,3744,1
2628,2826,3578,3617,3744,101,1
2826,3578,3617,3744,101,441,1
3578,3617,3744,101,441,2858,1
3617,3744,101,441,2858,1473,1
3744,101,441,2858,1473,2997,1
101,441,2858,1473,2997,235,1
441,2858,1473,2997,235,1060,1
2858,1473,2997,235,1060,356,1
1473,2997,235,1060,356,223,0
2997,235,1060,356,1500,2700,1
235,1060,356,1500,2700,2395,1
1060,356,1500,2700,2395,3243,0
356,1500,2700,2395,1517,3253,1
1500,2700,2395,1517,3253,1580,0
2700,2395,1517,3253,1732,2596,1
2395,1517,3253,1732,2596,3450,1
1517,3253,1732,2596,3450,231,1
3253,1732,2596,3450,231,333,1
1732,2596,3450,231,333,543,1
2596,3450,231,333,543,1042,1
3450,231,333,543,1042,216,1
231,333,543,1042,216,500,0
333,543,1042,216,3052,3809,1
543,1042,216,3052,3809,1777,1
1042,216,3052,3809,1777,3,1
216,3052,3809,1777,3,2542,1
3052,3809,1777,3,2542,2502,1
3809,1777,3,2542,2502,1080,1
1777,3,2542,2502,1080,1136,1
3,2542,2502,1080,1136,1793,1
2542,2502,1080,1136,1793,1256,1
2502,1080,1136,1793,1256,1927,1
1080,1136,1793,1256,1927,923,1
1136,1793,1256,1927,923,3671,1
1793,1256,1927,923,3671,260,1
1256,1927,923,3671,260,1073,1
1927,923,3671,260,1073,1097,1
923,3671,260,1073,1097,2174,1
3671,260,1073,1097,2174,2872,1
260,1073,1097,2174,2872,367,1
1073,1097,2174,2872,367,1967,1
1097,2174,2872,367,1967,2005,1
2174,2872,367,1967,2005,2093,0
2872,367,1967,2005,2161,2193,1
367,1967,2005,2161,2193,2797,1
1967,2005,2161,2193,2797,2105,1
2005,2161,2193,2797,2105,2143,1
2161,2193,2797,2105,2143,3479,1
2193,2797,2105,2143,3479,2054,1
2797,2105,2143,3479,2054,673,0
2105,2143,3479,2054,3489,1920,1
2143,3479,2054,3489,1920,3439,1
3479,2054,3489,1920,3439,3440,1
2054,3489,1920,3439,3440,1196,1
3489,1920,3439,3440,1196,1198,1
1920,3439,3440,1196,1198,1214,1
3439,3440,1196,1198,1214,2692,1
3440,1196,1198,1214,2692,3793,1
1196,1198,1214,2692,3793,1197,1
1198,1214,2692,3793,1197,2944,1
1214,2692,3793,1197,2944,3062,1
2692,3793,1197,2944,3062,2028,1
3793,1197,2944,3062,2028,2571,1
1197,2944,3062,2028,2571,2949,1
2944,3062,2028,2571,2949,457,1
3062,2028,2571,2949,457,1220,1
2028,2571,2949,457,1220,1222,1
2571,2949,457,1220,1222,1291,1
2949,457,1220,1222,1291,3703,1
457,1220,1222,1291,3703,110,1
1220,1222,1291,3703,110,940,1
1222,1291,3703,110,940,1954,1
1291,3703,110,940,1954,2947,1
3703,110,940,1954,2947,2948,1
110,940,1954,2947,2948,2000,1
940,1954,2947,2948,2000,6,1
1954,2947,2948,2000,6,2427,1
2947,2948,2000,6,2427,2529,1
2948,2000,6,2427,2529,2993,1
2000,6,2427,2529,2993,592,1
6,2427,2529,2993,592,2991,1
2427,2529,2993,592,2991,3527,1
2529,2993,592,2991,3527,3639,1
2993,592,2991,3527,3639,1275,1
592,2991,3527,3639,1275,1573,1
2991,3527,3639,1275,1573,2916,1
3527,3639,1275,1573,2916,316,0
3639,1275,1573,2916,2273,2406,1
1275,1573,2916,2273,2406,2528,0
1573,2916,2273,2406,3441,480,1
2916,2273,2406,3441,480,1587,1
2273,2406,3441,480,1587,423,0
2406,3441,480,1587,3729,2640,1
3441,480,1587,3729,2640,70,0
480,1587,3729,2640,733,1049,1
1587,3729,2640,733,1049,2058,1
3729,2640,733,1049,2058,3740,1
2640,733,1049,2058,3740,2366,1
733,1049,2058,3740,2366,919,1
1049,2058,3740,2366,919,2987,1
2058,3740,2366,919,2987,3168,1
3740,2366,919,2987,3168,1127,1
2366,919,2987,3168,1127,2414,0
919,2987,3168,1127,2115,590,1
2987,3168,1127,2115,590,349,1
3168,1127,2115,590,349,648,0
1127,2115,590,349,2046,362,1
2115,590,349,2046,362,2099,1
590,349,2046,362,2099,2470,1
349,2046,362,2099,2470,2617,0
2046,362,2099,2470,1552,1676,0
362,2099,2470,1552,2450,2641,1
2099,2470,1552,2450,2641,552,1
2470,1552,2450,2641,552,736,0
1552,2450,2641,552,1031,1377,0
2450,2641,552,1031,2094,1023,1
2641,552,1031,2094,1023,1,1
552,1031,2094,1023,1,1282,1
1031,2094,1023,1,1282,2761,1
2094,1023,1,1282,2761,2899,1
1023,1,1282,2761,2899,1025,1
1,1282,2761,2899,1025,1032,1
1282,2761,2899,1025,1032,2048,1
2761,2899,1025,1032,2048,2137,1
2899,1025,1032,2048,2137,2139,1
1025,1032,2048,2137,2139,3034,1
1032,2048,2137,2139,3034,596,1
2048,2137,2139,3034,596,661,1
2137,2139,3034,596,661,2078,1
2139,3034,596,661,2078,2090,1
3034,596,661,2078,2090,2096,1
596,661,2078,2090,2096,2141,1
661,2078,2090,2096,2141,1029,1
2078,2090,2096,2141,1029,1024,1
2090,2096,2141,1029,1024,2116,1
2096,2141,1029,1024,2116,1030,0
2141,1029,1024,2116,2033,4006,1
1029,1024,2116,2033,4006,50,1
1024,2116,2033,4006,50,608,1
2116,2033,4006,50,608,1089,1
2033,4006,50,608,1089,1213,1
4006,50,608,1089,1213,1617,1
50,608,1089,1213,1617,296,0
608,1089,1213,1617,2268,2580,1
1089,1213,1617,2268,2580,1396,0
1213,1617,2268,2580,1804,2985,1
1617,2268,2580,1804,2985,1620,1
2268,2580,1804,2985,1620,1805,1
2580,1804,2985,1620,1805,2616,1
1804,2985,1620,1805,2616,2389,0
2985,1620,1805,2616,2387,954,1
1620,1805,2616,2387,954,1208,1
1805,2616,2387,954,1208,2329,1
2616,2387,954,1208,2329,2959,1
2387,954,1208,2329,2959,1219,0
954,1208,2329,2959,1348,2644,1
1208,2329,2959,1348,2644,2654,1
2329,2959,1348,2644,2654,1258,0
2959,1348,2644,2654,1278,2459,1
1348,2644,2654,1278,2459,2648,1
2644,2654,1278,2459,2648,2716,1
2654,1278,2459,2648,2716,2657,0
1278,2459,2648,2716,1092,3386,1
2459,2648,2716,1092,3386,1625,1
2648,2716,1092,3386,1625,3176,0
2716,1092,3386,1625,3273,2338,0
1092,3386,1625,3273,1265,943,1
3386,1625,3273,1265,943,1226,1
1625,3273,1265,943,1226,163,1
3273,1265,943,1226,163,2291,1
1265,943,1226,163,2291,1270,1
943,1226,163,2291,1270,1240,1
1226,163,2291,1270,1240,1206,1
163,2291,1270,1240,1206,3702,1
2291,1270,1240,1206,3702,3033,1
1270,1240,1206,3702,3033,593,1
1240,1206,3702,3033,593,47,1
1206,3702,3033,593,47,2353,1
3702,3033,593,47,2353,3147,1
3033,593,47,2353,3147,527,1
593,47,2353,3147,527,5060,1
47,2353,3147,527,5060,1090,1
2353,3147,527,5060,1090,1224,1
3147,527,5060,1090,1224,151,1
527,5060,1090,1224,151,3448,1
5060,1090,1224,151,3448,780,0
1090,1224,151,3448,1298,3053,1
1224,151,3448,1298,3053,157,1
151,3448,1298,3053,157,1445,0
3448,1298,3053,157,553,2478,1
1298,3053,157,553,2478,2012,1
3053,157,553,2478,2012,2492,1
79132,131724,112552,3578,74458,91658,0
131724,112552,3578,74458,6874,8798,0
112552,3578,74458,6874,106782,71535,0
3578,74458,6874,106782,60756,46970,1
74458,6874,106782,60756,46970,333,1
6874,106782,60756,46970,333,48516,1
106782,60756,46970,333,48516,58559,1
60756,46970,333,48516,58559,109487,0
46970,333,48516,58559,68157,86345,1
333,48516,58559,68157,86345,80906,1
48516,58559,68157,86345,80906,89774,1
58559,68157,86345,80906,89774,1704,1
68157,86345,80906,89774,1704,122882,1
86345,80906,89774,1704,122882,114060,0
3703,849,2288,6835,7991,5746,1
849,2288,6835,7991,5746,5181,1
2288,6835,7991,5746,5181,4518,1
6835,7991,5746,5181,4518,70946,1
7991,5746,5181,4518,70946,5919,1
5746,5181,4518,70946,5919,2851,1
5181,4518,70946,5919,2851,26409,1
4518,70946,5919,2851,26409,1587,1
70946,5919,2851,26409,1587,5764,1
5919,2851,26409,1587,5764,7899,1
2851,26409,1587,5764,7899,3024,1
26409,1587,5764,7899,3024,72378,0
902,2351,162,538,368,1283,1
2351,162,538,368,1283,2019,0
162,538,368,1283,2921,2843,1
538,368,1283,2921,2843,2583,1
368,1283,2921,2843,2583,1079,0
1283,2921,2843,2583,1967,2692,1
2921,2843,2583,1967,2692,2076,1
2843,2583,1967,2692,2076,215,1
2583,1967,2692,2076,215,509,0
1967,2692,2076,215,800,1733,1
2692,2076,215,800,1733,2390,1
2076,215,800,1733,2390,319,1
215,800,1733,2390,319,1025,1
800,1733,2390,319,1025,190,0
1733,2390,319,1025,260,457,1
2390,319,1025,260,457,1084,1
319,1025,260,457,1084,553,0
1025,260,457,1084,1073,919,1
260,457,1084,1073,919,2078,1
457,1084,1073,919,2078,899,1
1084,1073,919,2078,899,1282,1
1073,919,2078,899,1282,1288,1
919,2078,899,1282,1288,1947,1
2078,899,1282,1288,1947,588,1
899,1282,1288,1947,588,914,1
1282,1288,1947,588,914,1213,1
1288,1947,588,914,1213,2203,1
1947,588,914,1213,2203,1449,1
588,914,1213,2203,1449,1517,1
914,1213,2203,1449,1517,2683,1
1213,2203,1449,1517,2683,904,1
2203,1449,1517,2683,904,1617,0
1449,1517,2683,904,2467,492,1
1517,2683,904,2467,492,1732,1
2683,904,2467,492,1732,648,0
904,2467,492,1732,3044,1719,1
2467,492,1732,3044,1719,296,0
492,1732,3044,1719,1466,235,0
1732,3044,1719,1466,920,1046,1
3044,1719,1466,920,1046,1077,1
1719,1466,920,1046,1077,1391,0
1466,920,1046,1077,908,912,1
920,1046,1077,908,912,910,1
1046,1077,908,912,910,1250,1
1077,908,912,910,1250,2186,1
908,912,910,1250,2186,1203,1
912,910,1250,2186,1203,1834,1
910,1250,2186,1203,1834,475,1
1250,2186,1203,1834,475,1704,0
2186,1203,1834,475,345,1895,1
1203,1834,475,345,1895,2282,0
1834,475,345,1895,3365,3508,1
475,345,1895,3365,3508,58,0
345,1895,3365,3508,265,342,1
1895,3365,3508,265,342,1094,0
3365,3508,265,342,1188,930,1
3508,265,342,1188,930,1198,0
265,342,1188,930,1259,1196,1
342,1188,930,1259,1196,1197,1
1188,930,1259,1196,1197,1291,1
930,1259,1196,1197,1291,539,0
1259,1196,1197,1291,3160,2858,1
1196,1197,1291,3160,2858,1179,1
1197,1291,3160,2858,1179,1211,0
1291,3160,2858,1179,1225,1734,0
3160,2858,1179,1225,3386,1892,0
2858,1179,1225,3386,2791,1086,1
1179,1225,3386,2791,1086,1103,1
1225,3386,2791,1086,1103,3176,1
3386,2791,1086,1103,3176,3204,1
2791,1086,1103,3176,3204,2174,1
1086,1103,3176,3204,2174,1219,1
1103,3176,3204,2174,1219,593,1
3176,3204,2174,1219,593,2762,1
3204,2174,1219,593,2762,608,1
2174,1219,593,2762,608,2204,1
1219,593,2762,608,2204,1907,0
593,2762,608,2204,3083,176,1
2762,608,2204,3083,176,2324,0
608,2204,3083,176,2359,1885,0
2204,3083,176,2359,1883,232,1
3083,176,2359,1883,232,1265,1
176,2359,1883,232,1265,1966,0
2359,1883,232,1265,2599,892,1
1883,232,1265,2599,892,1914,1
232,1265,2599,892,1914,125,1
1265,2599,892,1914,125,1641,1
2599,892,1914,125,1641,3358,0
892,1914,125,1641,348,1500,1
1914,125,1641,348,1500,357,0
125,1641,348,1500,3255,898,1
1641,348,1500,3255,898,3079,0
348,1500,3255,898,2997,4074,0
1500,3255,898,2997,4239,4166,0
3255,898,2997,4239,4034,106,1
898,2997,4239,4034,106,450,0
2997,4239,4034,106,1266,937,0
4239,4034,106,1266,3996,3911,0
4034,106,1266,3996,4033,3967,1
106,1266,3996,4033,3967,3851,1
1266,3996,4033,3967,3851,4021,1
3996,4033,3967,3851,4021,4027,0
4033,3967,3851,4021,3408,4014,0
3967,3851,4021,3408,3897,3317,1
3851,4021,3408,3897,3317,1136,1
4021,3408,3897,3317,1136,1080,1
3408,3897,3317,1136,1080,2150,1
3897,3317,1136,1080,2150,1916,0
3317,1136,1080,2150,1968,1060,0
1136,1080,2150,1968,2926,3060,1
1080,2150,1968,2926,3060,351,0
2150,1968,2926,3060,4121,441,0
1968,2926,3060,4121,2109,2874,1
2926,3060,4121,2109,2874,45,0
3060,4121,2109,2874,708,1580,0
4121,2109,2874,708,2406,2145,0
2109,2874,708,2406,3033,3809,0
2874,708,2406,3033,4967,4765,1
708,2406,3033,4967,4765,4881,0
2406,3033,4967,4765,4902,4347,1
3033,4967,4765,4902,4347,4641,0
4967,4765,4902,4347,4273,4381,0
4765,4902,4347,4273,4896,4246,1
590,296,457,588,595,110,1
296,457,588,595,110,318,0
457,588,595,110,34,50,1
588,595,110,34,50,364,0
595,110,34,50,527,39,0
110,34,50,527,1,597,0
34,50,527,1,367,515,0
50,527,1,367,21,58,1
527,1,367,21,58,261,1
1,367,21,58,261,357,0
367,21,58,261,594,531,1
21,58,261,594,531,589,0
58,261,594,531,36,232,1
261,594,531,36,232,253,0
594,531,36,232,596,266,0
531,36,232,596,290,475,1
36,232,596,290,475,534,0
232,596,290,475,247,300,0
590,150,380,349,588,231,0
150,380,349,588,316,457,1
380,349,588,316,457,593,1
349,588,316,457,593,595,1
588,316,457,593,595,318,1
316,457,593,595,318,329,1
457,593,595,318,329,356,1
593,595,318,329,356,434,1
595,318,329,356,434,480,1
318,329,356,434,480,10,0
329,356,434,480,292,339,1
356,434,480,292,339,110,1
434,480,292,339,110,185,0
480,292,339,110,454,47,1
292,339,110,454,47,364,1
339,110,454,47,364,367,1
110,454,47,364,367,377,1
454,47,364,367,377,589,0
47,364,367,377,34,410,0
364,367,377,34,500,597,1
367,377,34,500,597,50,0
377,34,500,597,225,587,1
34,500,597,225,587,19,0
500,597,225,587,32,527,0
